timestamp,position,tc_temp,internal_temp
824395,1500,944.75,22.62
824504,1499,942.5,22.62
824612,1498,943.75,22.62
824719,1497,940.5,22.62
824828,1496,940.5,22.62
824935,1495,940.75,22.62
825043,1494,938.75,22.62
825152,1493,940.0,22.62
825259,1492,937.75,22.62
825368,1491,937.5,22.56
825476,1490,936.25,22.62
825583,1489,935.0,22.62
825692,1488,933.75,22.56
825800,1487,933.75,22.56
825908,1486,933.0,22.62
826015,1485,932.25,22.62
826122,1484,931.0,22.62
826230,1483,929.75,22.62
826337,1482,928.75,22.62
826446,1481,929.5,22.56
826553,1480,927.0,22.56
826661,1479,928.0,22.62
826769,1478,929.5,22.56
826877,1477,932.5,22.62
826986,1476,937.0,22.62
827094,1475,938.5,22.62
827201,1474,945.5,22.62
827309,1473,949.25,22.62
827418,1472,951.5,22.62
827526,1471,953.25,22.56
827633,1470,950.75,22.62
827741,1469,950.75,22.62
827850,1468,950.0,22.62
827957,1467,948.75,22.56
828067,1466,949.0,22.62
828176,1465,948.5,22.62
828284,1464,949.75,22.62
828391,1463,954.25,22.62
828499,1462,955.25,22.62
828608,1461,958.5,22.62
828716,1460,959.25,22.62
828825,1459,964.75,22.62
828933,1458,965.25,22.62
829042,1457,970.75,22.56
829150,1456,973.5,22.62
829259,1455,972.75,22.62
829368,1454,974.5,22.62
829476,1453,973.0,22.62
829584,1452,972.25,22.62
829693,1451,972.5,22.62
829801,1450,969.75,22.62
829910,1449,971.0,22.62
830018,1448,972.75,22.62
830126,1447,974.0,22.56
830234,1446,976.75,22.62
830342,1445,976.5,22.56
830450,1444,977.0,22.62
830557,1443,977.0,22.62
830666,1442,977.75,22.62
830774,1441,980.5,22.62
830882,1440,983.0,22.62
830992,1439,987.5,22.62
831099,1438,986.5,22.69
831208,1437,989.5,22.62
831315,1436,989.25,22.62
831424,1435,992.5,22.62
831532,1434,996.25,22.62
831641,1433,998.75,22.62
831750,1432,1000.75,22.62
831857,1431,999.75,22.62
831965,1430,1001.25,22.56
832074,1429,1003.25,22.62
832182,1428,1004.75,22.69
832290,1427,1007.5,22.62
832398,1426,1008.5,22.69
832507,1425,1009.75,22.62
832616,1424,1012.0,22.62
832724,1423,1012.75,22.62
832832,1422,1016.25,22.62
832941,1421,1015.75,22.62
833050,1420,1018.75,22.62
833158,1419,1018.0,22.62
833267,1418,1018.25,22.62
833376,1417,1020.5,22.62
833484,1416,1019.25,22.62
833592,1415,1019.75,22.62
833699,1414,1017.75,22.62
833808,1413,1015.5,22.62
833916,1412,1015.5,22.62
834025,1411,1011.5,22.62
834133,1410,1011.5,22.62
834242,1409,1008.0,22.62
834350,1408,1006.5,22.56
834459,1407,1006.0,22.62
834567,1406,998.0,22.62
834676,1405,996.25,22.62
834784,1404,991.25,22.62
834893,1403,990.25,22.62
835001,1402,989.25,22.62
835109,1401,987.75,22.62
835217,1400,985.25,22.56
835325,1399,980.75,22.62
835433,1398,973.5,22.62
835542,1397,968.0,22.62
835650,1396,964.0,22.62
835758,1395,957.5,22.62
835867,1394,949.5,22.62
835976,1393,935.5,22.62
836084,1392,927.5,22.62
836193,1391,915.75,22.62
836302,1390,912.0,22.62
836411,1389,901.5,22.62
836520,1388,898.75,22.62
836629,1387,890.5,22.62
836739,1386,884.25,22.56
836847,1385,869.75,22.62
836959,1384,863.0,22.56
837067,1383,852.5,22.69
837175,1382,845.0,22.62
837283,1381,839.5,22.62
837391,1380,832.5,22.56
837499,1379,830.25,22.62
837608,1378,827.25,22.62
837716,1377,823.0,22.56
837824,1376,817.25,22.62
837933,1375,813.0,22.62
838041,1374,803.75,22.62
838149,1373,799.5,22.62
838258,1372,790.25,22.56
838366,1371,788.75,22.62
838475,1370,785.25,22.62
838583,1369,781.25,22.62
838692,1368,781.25,22.62
838801,1367,769.0,22.62
838909,1366,764.5,22.56
839018,1365,754.0,22.56
839127,1364,749.25,22.62
839236,1363,740.5,22.56
839345,1362,735.75,22.56
839453,1361,724.25,22.62
839561,1360,717.75,22.62
839670,1359,714.0,22.62
839778,1358,706.5,22.62
839886,1357,702.0,22.62
839994,1356,687.75,22.62
840102,1355,675.0,22.62
840210,1354,652.25,22.62
840319,1353,638.25,22.62
840428,1352,614.25,22.62
840536,1351,604.0,22.62
840645,1350,584.0,22.62
840754,1349,577.75,22.62
840862,1348,564.5,22.62
840970,1347,558.75,22.62
841078,1346,554.25,22.62
841187,1345,543.75,22.62
841296,1344,540.0,22.56
841404,1343,534.5,22.56
841513,1342,531.0,22.62
841621,1341,518.75,22.62
841729,1340,513.0,22.62
841837,1339,502.75,22.62
841945,1338,496.75,22.56
842053,1337,488.0,22.62
842163,1336,480.5,22.62
842271,1335,475.0,22.62
842379,1334,465.75,22.62
842487,1333,457.75,22.62
842596,1332,445.75,22.56
842705,1331,438.5,22.56
842814,1330,424.25,22.62
842922,1329,418.25,22.56
843032,1328,401.25,22.56
843141,1327,392.75,22.62
843250,1326,376.0,22.69
843358,1325,368.5,22.62
843467,1324,355.0,22.56
843575,1323,348.25,22.56
843683,1322,342.0,22.62
843791,1321,329.0,22.62
843899,1320,322.75,22.56
844007,1319,309.75,22.56
844155,1318,296.75,22.56
844262,1317,291.75,22.62
844371,1316,277.5,22.62
844479,1315,272.5,22.62
844588,1314,259.0,22.56
844696,1313,252.5,22.62
844806,1312,240.25,22.62
844914,1311,234.25,22.62
845023,1310,229.5,22.62
845131,1309,217.5,22.62
845239,1308,212.25,22.62
845346,1307,202.25,22.62
845454,1306,196.75,22.56
845562,1305,188.0,22.62
845670,1304,182.0,22.56
845778,1303,174.25,22.62
845886,1302,168.75,22.62
845994,1301,160.5,22.62
846102,1300,157.25,22.62
846210,1301,152.75,22.56
846318,1302,147.0,22.56
846426,1303,142.5,22.62
846534,1304,136.25,22.56
846643,1305,134.75,22.62
846751,1306,128.25,22.62
846860,1307,126.75,22.62
846969,1308,122.25,22.62
847078,1309,120.5,22.62
847186,1310,118.5,22.62
847294,1311,117.25,22.62
847403,1312,116.5,22.62
847511,1313,115.0,22.62
847619,1314,114.25,22.62
847728,1315,113.5,22.56
847836,1316,113.5,22.56
847945,1317,114.75,22.62
848055,1318,114.0,22.62
848162,1319,115.75,22.62
848270,1320,114.75,22.62
848379,1321,115.5,22.62
848487,1322,117.0,22.56
848596,1323,116.0,22.62
848706,1324,118.5,22.62
848815,1325,118.5,22.62
848924,1326,119.25,22.62
849032,1327,121.25,22.56
849140,1328,121.0,22.62
849248,1329,123.25,22.62
849356,1330,128.0,22.56
849464,1331,130.25,22.56
849572,1332,136.25,22.62
849680,1333,140.0,22.56
849789,1334,148.75,22.56
849897,1335,151.75,22.62
850005,1336,154.75,22.62
850113,1337,160.0,22.56
850222,1338,162.5,22.62
850330,1339,167.75,22.56
850438,1340,168.0,22.62
850546,1341,174.0,22.62
850655,1342,175.5,22.62
850762,1343,179.75,22.56
850870,1344,183.5,22.56
850979,1345,186.5,22.56
851087,1346,189.25,22.62
851195,1347,193.25,22.62
851304,1348,200.0,22.62
851413,1349,204.75,22.62
851521,1350,209.5,22.62
851629,1351,212.25,22.62
851736,1352,217.25,22.62
851845,1353,220.25,22.62
851955,1354,229.75,22.62
852064,1355,234.25,22.56
852173,1356,244.0,22.62
852281,1357,247.0,22.62
852389,1358,250.75,22.62
852497,1359,259.5,22.56
852605,1360,263.75,22.62
852713,1361,273.5,22.56
852821,1362,276.0,22.62
852930,1363,286.75,22.62
853038,1364,291.75,22.62
853147,1365,304.25,22.56
853255,1366,312.5,22.56
853362,1367,323.5,22.56
853471,1368,330.25,22.62
853579,1369,338.0,22.56
853687,1370,351.75,22.56
853796,1371,360.25,22.56
853904,1372,374.0,22.62
854013,1373,381.75,22.62
854121,1374,399.0,22.62
854229,1375,406.25,22.62
854337,1376,418.5,22.62
854445,1377,423.75,22.56
854554,1378,436.5,22.62
854662,1379,442.5,22.62
854770,1380,450.0,22.56
854878,1381,464.75,22.62
854985,1382,470.25,22.56
855094,1383,482.0,22.56
855203,1384,486.0,22.56
855312,1385,494.25,22.56
855420,1386,500.75,22.62
855529,1387,509.75,22.56
855637,1388,515.75,22.56
855745,1389,524.0,22.56
855853,1390,529.25,22.62
855961,1391,538.0,22.62
856071,1392,553.5,22.62
856178,1393,566.0,22.62
856287,1394,586.25,22.62
856395,1395,595.75,22.62
856504,1396,616.5,22.56
856612,1397,626.5,22.56
856720,1398,647.5,22.62
856828,1399,657.0,22.62
856936,1400,677.5,22.62
857045,1401,684.75,22.62
857153,1402,704.75,22.62
857262,1403,713.75,22.62
857370,1404,720.0,22.62
857478,1405,737.25,22.5
857586,1406,744.0,22.56
857695,1407,758.25,22.62
857804,1408,766.75,22.62
857912,1409,781.25,22.56
858020,1410,788.5,22.62
858128,1411,797.75,22.62
858237,1412,802.75,22.62
858345,1413,815.75,22.56
858453,1414,821.0,22.62
858562,1415,827.0,22.62
858670,1416,835.0,22.56
858779,1417,840.25,22.56
858888,1418,849.75,22.62
858995,1419,853.75,22.56
859103,1420,864.25,22.56
859212,1421,867.0,22.62
859319,1422,878.5,22.56
859428,1423,882.5,22.56
859537,1424,893.5,22.56
859645,1425,902.0,22.62
859753,1426,906.25,22.62
859861,1427,918.25,22.62
859971,1428,922.0,22.62
860079,1429,936.5,22.62
860188,1430,944.0,22.62
860297,1431,954.25,22.62
860406,1432,962.0,22.62
860514,1433,971.0,22.56
860623,1434,977.25,22.62
860731,1435,986.75,22.62
860840,1436,990.75,22.62
860948,1437,1000.0,22.56
861058,1438,1003.25,22.56
861167,1439,1007.0,22.62
861276,1440,1013.0,22.62
861384,1441,1015.25,22.62
861492,1442,1020.5,22.62
861600,1443,1020.5,22.62
861710,1444,1024.5,22.62
861819,1445,1025.75,22.62
861927,1446,1030.0,22.62
862035,1447,1033.25,22.56
862145,1448,1036.25,22.56
862254,1449,1039.5,22.56
862363,1450,1042.25,22.56
862471,1451,1043.5,22.56
862579,1452,1045.75,22.56
862687,1453,1045.0,22.62
862795,1454,1046.5,22.62
862905,1455,1045.75,22.62
863014,1456,1045.5,22.56
863124,1457,1046.0,22.62
863232,1458,1046.0,22.62
863346,1459,1048.0,22.56
863454,1460,1047.0,22.56
863562,1461,1049.0,22.56
863670,1462,1047.75,22.62
863778,1463,1047.5,22.56
863886,1464,1048.25,22.56
863995,1465,1046.25,22.56
864104,1466,1046.5,22.56
864212,1467,1044.75,22.56
864320,1468,1044.5,22.56
864429,1469,1045.5,22.62
864537,1470,1043.5,22.62
864645,1471,1043.75,22.62
864754,1472,1041.0,22.62
864863,1473,1040.5,22.56
864971,1474,1040.5,22.62
865079,1475,1039.75,22.62
865188,1476,1040.75,22.56
